tconst	averageRating	numVotes
tt0757968	8.3	7
tt0758722	7.9	141
tt0759033	7.6	17
tt0759034	6.4	21
tt0759364	5.8	10888
tt0762803	6.8	169
tt0764947	3.4	764
tt0768816	7.5	32
tt0771634	7.5	59
tt0773979	7.9	16
tt0775348	7.7	29
tt0775367	8.1	147
tt0778579	6.2	117
tt0780370	3.9	168
tt0781887	7.1	15
tt0782510	6.7	74
tt0783392	6.8	853
tt0784879	7.8	11
tt0786864	5.8	8
tt0787880	5.2	22
tt0787986	7.6	43
tt0787994	4.1	42
tt0788598	6.0	26
tt0789525	7.5	170
tt0790475	6.1	15
tt0791391	3.8	11
tt0793458	6.4	33
tt0795129	7.0	1456
tt0796522	6.9	21
tt0798605	5.9	9
tt0799583	5.9	13
tt0800969	8.3	84
tt0804503	8.7	272285
tt0805797	7.8	52
tt0807320	8.2	17
tt0807584	7.7	28
tt0809387	4.4	310
tt0809645	8.3	209
tt0811918	5.8	28
tt0815041	3.0	81
tt0815960	6.5	43
tt0816401	5.9	3425
tt0817377	7.6	14
tt0818735	7.5	8
tt0827948	4.4	234
tt0835010	7.8	8534
tt0835962	3.7	424
tt0837069	5.6	302
tt0842906	7.2	231
tt0843933	4.7	53
tt0844203	3.5	674
tt0844273	6.5	12
tt0845740	6.8	107
tt0848960	7.9	49
tt0850635	6.6	810
tt0852863	8.1	60992
tt0853067	3.6	13
tt0853068	7.7	24
tt0853076	3.0	295
tt0854650	8.1	67
tt0856136	6.2	408
tt0857760	7.2	86
tt0861971	7.6	66
tt0862592	5.1	11
tt0862621	5.9	224
tt0862999	7.2	42
tt0864307	2.4	168
tt0866193	8.7	82
tt0870060	5.6	646
tt0870872	4.9	1007
tt0870876	3.9	23
tt0873958	7.9	10
tt0874936	8.3	35853
tt0877258	7.7	13
tt0880565	7.4	444
tt0880583	2.2	189
tt0880996	5.9	36
tt0883849	3.5	10
tt0887237	6.9	29
tt0887983	4.0	18
tt0889154	8.0	118
tt0896892	6.7	309
tt0896893	7.6	858
tt0897705	7.0	56
tt0903751	7.4	185
tt0904108	6.7	76
tt0906712	5.3	121
tt0907704	7.3	34
tt0909398	7.2	199
tt0921936	6.3	24
tt0923171	8.3	11
tt0924651	8.4	13711
tt0929359	8.1	76
tt0930831	4.3	401
tt0933348	7.8	41
tt0934055	6.7	12
tt0939787	4.3	106
tt0943525	7.9	21
tt0944355	7.7	8
tt0945531	7.1	619
tt0949791	7.5	51
tt0949793	7.5	116
tt0959425	4.4	129
tt0959790	4.9	119
tt0962884	6.1	182
tt0964948	7.1	1082
tt0966979	7.4	24
tt0971928	7.7	547
tt0972177	5.1	82
tt0974984	5.4	126
tt0976084	2.2	12
tt0977628	7.5	489
tt0977907	7.2	489
tt0979693	7.5	93
tt0982501	7.9	9
tt0983197	7.5	248
tt0985724	8.5	15
tt0988824	8.7	192410
tt0991344	6.3	52
tt0994557	6.0	43
tt0995012	6.1	116
tt0997196	8.2	22
tt10006526	6.0	17
tt10010038	7.7	20
tt1001474	5.4	115
tt10023474	6.0	32
tt1003895	4.8	71
tt10074050	7.3	7
tt10096176	6.4	6
tt10104840	4.7	12
tt10120950	7.9	11
