tconst	parentTconst	seasonNumber	episodeNumber
tt4528244	tt4522064	1.0	3.0
tt12761826	tt12306340	1.0	283.0
tt18672946	tt0344642	1.0	249.0
tt22508164	tt21434884	1.0	18.0
tt17280196	tt0115092	1.0	181.0
tt10255252	tt1144839		
tt3138940	tt1409069	1.0	38.0
tt1689070	tt0088580	1.0	2063.0
tt23549932	tt0405546	1.0	991.0
tt32880560	tt29539780	2.0	22.0
tt1212590	tt0199192	9.0	11.0
tt6466730	tt0069658	1.0	11023.0
tt11829928	tt5602308	2.0	64.0
tt20564252	tt0136668		
tt30394565	tt0247094	30.0	89.0
tt27731893	tt27051979	1.0	9.0
tt20502072	tt18453618	1.0	60.0
tt34792529	tt34722143	1.0	6.0
tt8847316	tt0224887	16.0	17.0
tt1530265	tt0092325	1.0	2977.0
tt26244756	tt5227592	1.0	25.0
tt13059618	tt10196152	1.0	550.0
tt13906820	tt12553660		
tt11531316	tt10157638	1.0	536.0
tt2025327	tt0072584	7.0	105.0
tt7250812	tt0219447	2.0	46.0
tt7911506	tt0361220	1.0	79.0
tt28313435	tt0421485	1.0	10.0
tt1190306	tt1168672	1.0	24.0
tt12780328	tt0369117	192.0	8.0
tt10202124	tt6033780	2.0	31.0
tt13893718	tt13886408	2.0	10.0
tt34873190	tt6853288	7.0	84.0
tt1520072	tt1257544	2.0	1.0
tt14522730	tt14294416	1.0	644.0
tt10615028	tt10609012	1.0	5.0
tt9418210	tt5805288	2.0	64.0
tt12596974	tt0282291	20.0	94.0
tt1569097	tt0203259	11.0	14.0
tt15534664	tt15403538	1.0	4.0
tt6382320	tt2810310		
tt3218158	tt2330549	2.0	13.0
tt1406122	tt1309404		
tt5274116	tt0778579	2.0	1.0
tt13389442	tt0106053	11.0	110.0
tt1759817	tt0374364		
tt2393582	tt0165001		
tt6453418	tt5132162	2.0	1.0
tt8822536	tt0377280	1.0	35.0
tt7563154	tt7383524		
tt4641574	tt0983197	40.0	4.0
tt7830614	tt0391590		
tt1368293	tt1174847		
tt33310909	tt17323464	1.0	144.0
tt3023982	tt3017980		
tt28634276	tt5995634	8.0	21.0
tt17008606	tt15499568	1.0	5.0
tt1779614	tt0090440	24.0	2.0
tt7626000	tt2049323	12.0	11.0
tt11046526	tt0407411	6.0	44.0
tt3041914	tt1119642	1.0	1507.0
tt32197498	tt32189072	1.0	133.0
tt1879901	tt0259158	1.0	26.0
tt2827618	tt1895103	3.0	3.0
tt22864492	tt0286351	1.0	193.0
tt0719635	tt0369176	2.0	41.0
tt8726538	tt1271991		
tt31806002	tt0414777	16.0	18.0
tt13893100	tt0450530		
tt23130536	tt10873804	1.0	27.0
tt0996880	tt0994557	1.0	3.0
