id,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
204,tt0118376,tvMiniSeries,Knots Landing: Back to the Cul-de-Sac,Knots Landing: Back to the Cul-de-Sac,0.0,1997.0,1997.0,240,"Drama,Romance"
205,tt0118378,tvSeries,Coast Guard,Küstenwache,0.0,1997.0,2016.0,45,"Crime,Drama"
206,tt0118401,tvSeries,Midsomer Murders,Midsomer Murders,0.0,1997.0,,90,"Crime,Drama,Mystery"
207,tt0118435,tvSeries,Port Charles,Port Charles,0.0,1997.0,2003.0,30,"Drama,Fantasy,Romance"
208,tt0120919,tvSeries,Almorzando con Mirtha Legrand,Almorzando con Mirtha Legrand,0.0,1968.0,,,Talk-Show
209,tt0120974,tvSeries,The Jerry Springer Show,The Jerry Springer Show,0.0,1991.0,2018.0,60,"Comedy,Music,Talk-Show"
210,tt0120986,tvSeries,Maury,The Maury Povich Show,0.0,1991.0,2022.0,60,"Comedy,Drama,Talk-Show"
211,tt0121220,tvSeries,Dragon Ball Z,Dragon Ball Z: Doragon bôru zetto,0.0,1989.0,1996.0,24,"Action,Adventure,Animation"
212,tt0121679,tvSeries,Regina auf den Stufen,Regina auf den Stufen,0.0,1990.0,,45,"Comedy,Drama"
213,tt0121961,tvSeries,Who Said That?,Who Said That?,0.0,1948.0,1955.0,30,"Family,Game-Show"
214,tt0122335,tvSeries,Al salir de clase,Al salir de clase,0.0,1997.0,2002.0,35,"Comedy,Drama,Romance"
215,tt0123366,tvSeries,The View,The View,0.0,1997.0,,60,Talk-Show
216,tt0124226,tvSeries,"Acapulco, cuerpo y alma","Acapulco, cuerpo y alma",0.0,1995.0,1996.0,,"Drama,Romance"
217,tt0124240,tvSeries,The Garry McDonald Show,The Garry McDonald Show,0.0,1977.0,1977.0,,Comedy
218,tt0124955,tvSeries,Manos a la obra,Manos a la obra,0.0,1998.0,2001.0,,Comedy
219,tt0127991,tvSeries,Card Sharks,Card Sharks,0.0,1978.0,2019.0,30,"Family,Game-Show"
220,tt0128176,tvSeries,Egoli: Place of Gold,Egoli: Place of Gold,0.0,1991.0,,,"Drama,Romance"
221,tt0129685,tvSeries,Homicide,Homicide,0.0,1964.0,1977.0,120,"Action,Crime,Drama"
222,tt0129723,tvSeries,Z Cars,Z Cars,0.0,1962.0,1978.0,50,"Crime,Drama"
223,tt0131157,tvSeries,Aktenzeichen XY... ungelöst!,Aktenzeichen XY... ungelöst!,0.0,1967.0,,60,"Crime,News"
224,tt0131689,tvSeries,Virginie,Virginie,0.0,1996.0,,30,"Comedy,Drama"
225,tt0135111,tvSeries,Verão Quente,Verão Quente,0.0,1993.0,1994.0,,"Drama,Romance"
226,tt0136668,tvSeries,SportsCenter,SportsCenter,0.0,1979.0,,60,"News,Sport,Talk-Show"
227,tt0138228,tvSeries,Countdown,Countdown,0.0,1982.0,,45,Game-Show
228,tt0139803,tvSeries,Top of the Pops,Top of the Pops,0.0,1964.0,2024.0,60,Music
229,tt0143004,tvSeries,Yûsha keisatsu Jei-Decker,Yûsha keisatsu Jei-Decker,0.0,1994.0,1995.0,,"Action,Animation,Sci-Fi"
230,tt0143005,tvSeries,Brave Command Dagwon,Yûsha shirei Dagwon,0.0,1996.0,1997.0,,"Action,Adventure,Animation"
231,tt0143055,tvSeries,Play School,Play School,0.0,1966.0,,28,Family
232,tt0144050,tvSeries,Hinter Gittern - Der Frauenknast,Hinter Gittern - Der Frauenknast,0.0,1997.0,2010.0,48,"Crime,Drama"
233,tt0144066,tvSeries,Selva de Pedra,Selva de Pedra,0.0,1986.0,,,"Drama,Romance"
234,tt0144724,tvSeries,Young Hearts,Malhação,0.0,1995.0,2020.0,30,"Comedy,Drama,Music"
235,tt0148286,tvEpisode,"Britain Invades, America Fights Back","Britain Invades, America Fights Back",0.0,1995.0,,60,"Documentary,History,Music"
236,tt0149434,tvSeries,Corners,Corners,0.0,1987.0,1991.0,,
237,tt0149443,tvSeries,Despedida de Solteiro,Despedida de Solteiro,0.0,1992.0,,,"Drama,Romance"
238,tt0149453,tvSeries,F.C. De Kampioenen,F.C. De Kampioenen,0.0,1990.0,2020.0,33,"Comedy,Romance,Sport"
239,tt0149466,tvSeries,Gufol mysteriet,Gufol mysteriet,0.0,1997.0,1997.0,15,Mystery
240,tt0149541,tvSeries,A Viagem,A Viagem,0.0,1994.0,1994.0,45,"Drama,Fantasy,Romance"
241,tt0149546,tvSeries,Wittekerke,Wittekerke,0.0,1993.0,2008.0,,"Drama,Romance"
